period_id,year,month,period_date
1,2020,1,2020-01-01
2,2020,2,2020-02-01
3,2020,3,2020-03-01
4,2020,4,2020-04-01
5,2020,5,2020-05-01
6,2020,6,2020-06-01
7,2020,7,2020-07-01
8,2020,8,2020-08-01
9,2020,9,2020-09-01
10,2020,10,2020-10-01
11,2020,11,2020-11-01
12,2020,12,2020-12-01
13,2021,1,2021-01-01
14,2021,2,2021-02-01
15,2021,3,2021-03-01
16,2021,4,2021-04-01
17,2021,5,2021-05-01
18,2021,6,2021-06-01
19,2021,7,2021-07-01
20,2021,8,2021-08-01
21,2021,9,2021-09-01
22,2021,10,2021-10-01
23,2021,11,2021-11-01
24,2021,12,2021-12-01
25,2022,1,2022-01-01
26,2022,2,2022-02-01
27,2022,3,2022-03-01
28,2022,4,2022-04-01
29,2022,5,2022-05-01
30,2022,6,2022-06-01
31,2022,7,2022-07-01
32,2022,8,2022-08-01
33,2022,9,2022-09-01
34,2022,10,2022-10-01
35,2022,11,2022-11-01
36,2022,12,2022-12-01
37,2023,1,2023-01-01
38,2023,2,2023-02-01
39,2023,3,2023-03-01
40,2023,4,2023-04-01
41,2023,5,2023-05-01
42,2023,6,2023-06-01
43,2023,7,2023-07-01
44,2023,8,2023-08-01
45,2023,9,2023-09-01
46,2023,10,2023-10-01
47,2023,11,2023-11-01
48,2023,12,2023-12-01
49,2024,1,2024-01-01
50,2024,2,2024-02-01
51,2024,3,2024-03-01
52,2024,4,2024-04-01
53,2024,5,2024-05-01
54,2024,6,2024-06-01
55,2024,7,2024-07-01
56,2024,8,2024-08-01
57,2024,9,2024-09-01
58,2024,10,2024-10-01
59,2024,11,2024-11-01
60,2024,12,2024-12-01
61,2025,1,2025-01-01
62,2025,2,2025-02-01
63,2025,3,2025-03-01
64,2025,4,2025-04-01
65,2025,5,2025-05-01
66,2025,6,2025-06-01
67,2025,7,2025-07-01
68,2025,8,2025-08-01
69,2025,9,2025-09-01
70,2025,10,2025-10-01
71,2025,11,2025-11-01
72,2025,12,2025-12-01
73,2026,1,2026-01-01
74,2026,2,2026-02-01
75,2026,3,2026-03-01
76,2026,4,2026-04-01
77,2026,5,2026-05-01
78,2026,6,2026-06-01
79,2026,7,2026-07-01
80,2026,8,2026-08-01
81,2026,9,2026-09-01
82,2026,10,2026-10-01
83,2026,11,2026-11-01
84,2026,12,2026-12-01
